City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
30,Mar Del Plata,AR,-38.0023,-57.5575,60.87,80,98,15.99,overcast clouds
31,Airai,TL,-8.9266,125.4092,61.72,88,99,1.07,moderate rain
32,Zhezkazgan,KZ,47.8043,67.7144,28.87,76,100,10.78,overcast clouds
33,Avarua,CK,-21.2078,-159.775,77.05,88,93,11.5,overcast clouds
34,Bengkulu,ID,-3.8004,102.2655,75.33,88,67,4.18,broken clouds
35,Grindavik,IS,63.8424,-22.4338,28.87,69,75,8.05,snow
36,Kalmunai,LK,7.4167,81.8167,77.9,81,18,2.64,few clouds
37,Twentynine Palms,US,34.1356,-116.0542,79.92,15,0,1.01,clear sky
38,Puerto Ayora,EC,-0.7393,-90.3518,78.76,76,81,9.31,broken clouds
39,Beloha,MG,-25.1667,45.05,75.63,85,16,10.07,few clouds
40,Hobart,AU,-42.8794,147.3294,60.03,84,90,0.0,overcast clouds
41,Kirakira,SB,-10.4544,161.9205,79.59,81,91,4.29,overcast clouds
42,Saint-Philippe,RE,-21.3585,55.7679,74.79,74,12,10.78,few clouds
43,Vaini,TO,-21.2,-175.2,78.96,83,75,8.05,broken clouds
44,Kifri,IQ,34.6959,44.9661,65.19,38,100,10.56,overcast clouds
45,Chhatak,BD,25.0333,91.6667,68.18,59,19,2.53,few clouds
46,Nikolskoye,RU,59.7035,30.7861,19.29,95,89,4.36,overcast clouds
47,Biltine,TD,14.5333,20.9167,81.5,16,2,14.43,clear sky
48,Goderich,CA,43.7501,-81.7165,40.91,82,100,17.31,overcast clouds
49,Bolkhov,RU,53.4433,36.0044,25.02,75,100,12.19,overcast clouds
50,Tiksi,RU,71.6872,128.8694,-25.44,99,97,5.68,overcast clouds
51,Hilo,US,19.7297,-155.09,74.28,86,75,4.61,broken clouds
52,Tazovskiy,RU,67.4667,78.7,-13.07,94,89,11.3,overcast clouds
53,Ginda,IN,30.6945,78.4932,54.43,35,100,2.8,overcast clouds
54,Bambous Virieux,MU,-20.3428,57.7575,77.25,78,20,6.91,light rain
55,Katsuura,JP,35.1333,140.3,50.14,54,9,7.56,clear sky
56,Honiara,SB,-9.4333,159.95,77.43,87,78,3.22,broken clouds
57,Butaritari,KI,3.0707,172.7902,81.73,76,74,10.45,broken clouds
58,Ler,SS,8.3018,30.1418,81.54,51,88,2.33,overcast clouds
59,Lawton,US,34.6087,-98.3903,68.47,37,1,0.0,clear sky
60,Nhulunbuy,AU,-12.2333,136.7667,79.41,89,77,0.0,broken clouds
61,Kapaa,US,22.0752,-159.319,79.12,83,40,1.01,moderate rain
62,Alice Springs,AU,-23.7,133.8833,67.55,52,0,0.0,clear sky
63,Hermanus,ZA,-34.4187,19.2345,63.9,72,86,10.22,overcast clouds
64,Kununurra,AU,-15.7667,128.7333,78.78,78,33,0.0,scattered clouds
